epoch,train_loss,val_loss,rouge1,rouge2,rougeL,epoch_time_sec,total_time_sec
1,7.680520543087734,6.337398042070105,0.1344264133604376,0.010643253398523912,0.10060862351833104,406.8694718120387,
2,5.970622094829431,5.77158907119264,0.16643497736695959,0.015645050301167914,0.11515952700367611,419.63490251707844,
3,5.453836135649949,5.5496894907444085,0.1861846397015117,0.023837380284721064,0.13018799094873024,415.92286103300285,
4,5.1008813547284415,5.4516353657905094,0.19216895022759126,0.021877539434919727,0.13058422856369317,408.9691340769641,
5,4.826249338000008,5.416565631298309,0.20096400773727086,0.025261411039164208,0.13386244238865108,409.1148213290144,
6,4.57392055425751,5.414898035374094,0.20191068997841274,0.02514612027147939,0.13027159068751082,406.9050341020338,
7,4.3311904360739035,5.4429219682165915,0.2085885318747258,0.03031099354803991,0.1369577990604319,407.37045560299885,
8,4.099731634440047,5.497883243763701,0.1980776902539436,0.027816165779353863,0.13007483008384707,411.0475256460486,
9,3.900843291336231,5.562287492954985,0.21723378462663367,0.03021041894167031,0.1365179036697952,417.1934976419434,
TOTAL,,,,,,,3872.5140235220315
