epoch,train_loss,val_loss,rouge1,rouge2,rougeL,epoch_time_sec,total_time_sec
1,8.1940653040168,6.670191901795407,0.13838618818729623,0.008224638278816962,0.10421733540034807,139.35752921993844,
2,6.266081643908211,5.98970893596081,0.1459745326804856,0.012716331681863495,0.10099925978216708,156.74632051505614,
3,5.744702215944783,5.721387639958808,0.16638664488170654,0.017307237790820534,0.11448009202300588,141.72920858196449,
4,5.440159640151463,5.585484494554236,0.17286795344392758,0.01953892126537247,0.11944365172543055,146.7847748559434,
5,5.22736858732245,5.506260516795706,0.1885613287511428,0.0243698815658197,0.12773016731664508,142.1088235169882,
6,5.0487948160492975,5.458531719573001,0.18618990015219322,0.026325938759439626,0.12650049442553285,143.6730673109414,
7,4.877005200975397,5.428637697341594,0.19054606637270677,0.026182707943467654,0.1277815997086789,141.30965629499406,
8,4.728168492906549,5.417226081198835,0.20181268580664394,0.02799617414146246,0.1359841935711676,142.83348193601705,
9,4.60912363073799,5.418050872518661,0.206489848067633,0.028718085573639467,0.139711491579767,148.14661271404475,
10,4.483271350217669,5.421686370322045,0.20194326336093665,0.029482603483362336,0.13777276106396497,140.65691973897628,
11,4.368336472886332,5.437145339681747,0.21259920736038698,0.03562009843453628,0.14076163050285573,147.533958492917,
TOTAL,,,,,,,1705.5304223760031
