epoch,train_loss,val_loss,rouge1,rouge2,rougeL,epoch_time_sec,total_time_sec
1,8.415008070227804,6.927719664066396,0.09070294704078152,0.0031401082566950974,0.07546638256584555,113.2751423290465,
2,6.517204595415779,6.234509315896542,0.13419289829723396,0.00986298567870927,0.09808516049820198,112.30993382597808,
3,5.995539774519674,5.989751491140812,0.14804763278138303,0.011070567880175578,0.11110251254553485,113.3781427500071,
4,5.723580703306734,5.87584665988354,0.14868919918219484,0.014195974129387983,0.10642437864002807,114.45464926294517,
5,5.546065096908741,5.802273932923662,0.1668008665112122,0.01802376281272219,0.11686028071150781,112.75512320001144,
6,5.399964652972275,5.75597068096729,0.16984546741914305,0.015797259397462717,0.11826973062642877,113.18529088399373,
7,5.265442969290058,5.729279619582156,0.17964951429004472,0.020630891027038967,0.12340875566037274,113.71727179700974,
8,5.154049437233572,5.710858578377581,0.17859326580037274,0.021518750029866068,0.1219329952191475,113.67471979407128,
9,5.07164571204882,5.700306801085777,0.17560385336087386,0.026473721734222418,0.12198056981992214,112.95002505904995,
10,4.979994767435481,5.701586561000093,0.17295068853881435,0.02206217869711384,0.1213651753417523,113.25414216495119,
11,4.898214838478003,5.7032160454608025,0.19512876844517113,0.027583841886221,0.13231970613448582,114.81075503001921,
12,4.82533542011561,5.705137364407803,0.19557583887333896,0.03033456273602402,0.1329448077840172,113.77898470696528,
TOTAL,,,,,,,1482.469640828902
